,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,SuicideRate,Population,death_rate_perc,CountryName,region,sub-region,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
0,Australia,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,11.25,25364307.0,,Australia,Oceania,Australia and New Zealand,5.0,,81.0,13.04,73.0,63.5,1.1,32759.0,427064.0,20.0,5.4,82.5,7.3,1.31,49126.0,95.0,,85.0,2.7,502.0,14.35,91.0,93.0,21.0
1,Austria,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,10.4,8877067.0,0.918738137,Austria,Europe,Western Europe,16.0,0.9,85.0,6.66,72.0,80.6,0.5,33541.0,308325.0,21.0,3.5,81.7,7.1,1.84,50349.0,92.0,1.6,70.0,1.3,492.0,14.55,80.0,92.0,17.0
2,Belgium,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,0.733,0.244,13.93,11484055.0,0.944230936,Belgium,Europe,Western Europe,15.0,1.9,77.0,4.75,63.0,70.1,1.0,30364.0,386006.0,21.0,3.7,81.5,6.9,3.54,49675.0,91.0,2.2,74.0,2.0,503.0,15.7,89.0,84.0,19.3
3,Brazil,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,0.761,0.337,6.41,211049527.0,0.639566465,Brazil,Americas,South America,10.0,6.7,49.0,7.13,61.0,35.6,26.7,,,,,74.8,6.4,,,90.0,,,2.2,395.0,,79.0,73.0,16.2
4,Canada,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,10.34,37589262.0,,Canada,Americas,Northern America,7.0,0.2,91.0,3.69,73.0,82.2,1.3,30854.0,423849.0,22.0,6.0,81.9,7.4,0.77,47622.0,93.0,2.6,88.0,2.9,523.0,14.56,68.0,91.0,17.3
5,Chile,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,0.809,0.337,8.04,18952038.0,0.575552877,Chile,Americas,South America,16.0,9.4,65.0,9.72,63.0,47.9,4.2,,100967.0,18.0,8.7,79.9,6.5,,25879.0,85.0,1.2,57.0,1.3,443.0,,47.0,71.0,17.5
6,Colombia,6.35,9.598,0.873,68.0,0.822,-0.172,0.854,0.822,0.322,3.74,50339443.0,0.484010123,Colombia,Americas,South America,10.0,23.9,54.0,26.56,67.0,44.4,24.5,,,17.0,,76.2,6.3,0.79,,89.0,1.2,,1.4,410.0,,53.0,75.0,14.1
7,,,,,,,,,,,,,,Czech Republic,Europe,Eastern Europe,20.0,0.7,94.0,5.65,74.0,72.3,0.5,21453.0,,24.0,3.1,79.1,6.7,1.04,25372.0,91.0,1.4,60.0,1.6,491.0,,61.0,87.0,17.9
8,Denmark,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,7.63,5818553.0,0.924714444,Denmark,Europe,Northern Europe,9.0,0.5,81.0,2.34,74.0,83.5,0.6,29606.0,118637.0,23.0,4.2,80.9,7.6,1.31,51466.0,95.0,1.9,71.0,2.0,504.0,15.87,86.0,95.0,19.5
9,Estonia,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,11.96,1326590.0,1.155745181,Estonia,Europe,Northern Europe,8.0,7.0,89.0,2.42,74.0,69.0,3.1,19697.0,159373.0,17.0,3.8,77.8,5.7,1.92,24336.0,92.0,1.6,53.0,2.7,524.0,14.9,64.0,84.0,17.7
