CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
AUS,36,ISO 3166-2:AU,9,53,4,Australia,Oceania,Australia and New Zealand,Women,,,80,6.31,68,48.8,0.7,,,,5,84.6,7.4,1.23,,94,,85,,506,14.33,,92,21.1
AUS,36,ISO 3166-2:AU,9,53,3,Australia,Oceania,Australia and New Zealand,Total,5,,81,13.04,73,63.5,1.1,32759,427064,20,5.4,82.5,7.3,1.31,49126,95,,85,2.7,502,14.35,91,93,21
AUS,36,ISO 3166-2:AU,9,53,2,Australia,Oceania,Australia and New Zealand,Men,,,82,19.17,78,80.1,1.5,,,,5.9,80.4,7.2,1.38,,96,,85,,498,14.37,,93,20.8
AUS,36,ISO 3166-2:AU,9,53,1,Australia,Oceania,Australia and New Zealand,Low,,,,,,,,,,,11.02,,,,,,,,,0,,,,
AUS,36,ISO 3166-2:AU,9,53,0,Australia,Oceania,Australia and New Zealand,High,,,,,,,,,,,2.29,,7.5,,,96,,94,,550,,,,
AUT,40,ISO 3166-2:AT,150,155,9,Austria,Europe,Western Europe,Women,,,82,3.1,68,77.4,0.5,,,,2.7,84.1,7.1,1.66,,92,,69,,488,14.32,,91,17.3
AUT,40,ISO 3166-2:AT,150,155,8,Austria,Europe,Western Europe,Total,16,0.9,85,6.66,72,80.6,0.5,33541,308325,21,3.5,81.7,7.1,1.84,50349,92,1.6,70,1.3,492,14.55,80,92,17
AUT,40,ISO 3166-2:AT,150,155,7,Austria,Europe,Western Europe,Men,,,88,10.01,76,84.1,0.4,,,,4.2,79.3,7.1,1.99,,92,,72,,496,14.72,,93,16.7
AUT,40,ISO 3166-2:AT,150,155,6,Austria,Europe,Western Europe,Low,,,,,,,,,,,7.31,,,,,,,62,,447,,,,
AUT,40,ISO 3166-2:AT,150,155,5,Austria,Europe,Western Europe,High,,,,,,,,,,,2.67,,7.6,,,92,,80,,541,,,,
BEL,56,ISO 3166-2:BE,150,155,14,Belgium,Europe,Western Europe,Women,,,78,2.55,59,59.1,0.9,,,,2.7,84,6.9,3.35,,90,,71,,501,15.51,,81,20
BEL,56,ISO 3166-2:BE,150,155,13,Belgium,Europe,Western Europe,Total,15,1.9,77,4.75,63,70.1,1,30364,386006,21,3.7,81.5,6.9,3.54,49675,91,2.2,74,2,503,15.7,89,84,19.3
BEL,56,ISO 3166-2:BE,150,155,12,Belgium,Europe,Western Europe,Men,,,76,6.81,68,81.6,1.2,,,,4.7,79,6.9,3.71,,92,,77,,504,15.78,,86,18.6
BEL,56,ISO 3166-2:BE,150,155,11,Belgium,Europe,Western Europe,Low,,,,,,,,,,,6.97,,,,,,,59,,452,,,,
BEL,56,ISO 3166-2:BE,150,155,10,Belgium,Europe,Western Europe,High,,,,,,,,,,,2.19,,7.3,,,95,,87,,559,,,,
BRA,76,ISO 3166-2:BR,19,5,19,Brazil,Americas,South America,Women,,,52,4.74,51,27.3,4.3,,,,,78.5,6.6,,,91,,,,396,,,69,16.5
BRA,76,ISO 3166-2:BR,19,5,18,Brazil,Americas,South America,Total,10,6.7,49,7.13,61,35.6,26.7,,,,,74.8,6.4,,,90,,,2.2,395,,79,73,16.2
BRA,76,ISO 3166-2:BR,19,5,17,Brazil,Americas,South America,Men,,,46,9.15,71,44.7,50,,,,,71,6.2,,,90,,,,394,,,77,15.8
BRA,76,ISO 3166-2:BR,19,5,16,Brazil,Americas,South America,Low,,,,,,,,,,,,,,,,86,,,,361,,,,
BRA,76,ISO 3166-2:BR,19,5,15,Brazil,Americas,South America,High,,,,,,,,,,,,,,,,,,,,445,,,,
CAN,124,ISO 3166-2:CA,19,21,24,Canada,Americas,Northern America,Women,,,93,1.42,71,73.1,0.7,,,,5.4,83.9,7.4,0.64,,94,,88,,526,14.46,,90,17.8
CAN,124,ISO 3166-2:CA,19,21,23,Canada,Americas,Northern America,Total,7,0.2,91,3.69,73,82.2,1.3,30854,423849,22,6,81.9,7.4,0.77,47622,93,2.6,88,2.9,523,14.56,68,91,17.3
CAN,124,ISO 3166-2:CA,19,21,22,Canada,Americas,Northern America,Men,,,90,5.91,76,92.2,1.8,,,,6.7,79.8,7.3,0.88,,92,,89,,521,14.64,,92,16.9
CAN,124,ISO 3166-2:CA,19,21,21,Canada,Americas,Northern America,Low,,,,,,,,,,,12.97,,,,,,,80,,488,,,,
CAN,124,ISO 3166-2:CA,19,21,20,Canada,Americas,Northern America,High,,,,,,,,,,,4.17,,7.6,,,94,,94,,558,,,,
CHL,152,ISO 3166-2:CL,19,5,29,Chile,Americas,South America,Women,,,65,5.48,53,43.5,1,,,,10.3,82.7,6.5,,,84,,53,,439,,,70,17.7
CHL,152,ISO 3166-2:CL,19,5,28,Chile,Americas,South America,Total,16,9.4,65,9.72,63,47.9,4.2,,100967,18,8.7,79.9,6.5,,25879,85,1.2,57,1.3,443,,47,71,17.5
CHL,152,ISO 3166-2:CL,19,5,27,Chile,Americas,South America,Men,,,65,12.75,72,52.6,7.4,,,,7,77.1,6.5,,,85,,62,,446,,,72,17.3
CHL,152,ISO 3166-2:CL,19,5,26,Chile,Americas,South America,Low,,,,,,,,,,,8.2,,5.7,,,76,,46,,399,,,,
CHL,152,ISO 3166-2:CL,19,5,25,Chile,Americas,South America,High,,,,,,,,,,,6.64,,7.2,,,93,,67,,492,,,,
COL,170,ISO 3166-2:CO,19,5,34,Colombia,Americas,South America,Women,,,56,19.37,55,40.7,4.1,,,,,79.4,6.3,1.16,,89,,,,409,,,73,14.4
