,CountryName,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
0,Australia,High,,,,,,,,,,,2.29,,7.5,,,96.0,,94.0,,550.0,,,,
1,Australia,Low,,,,,,,,,,,11.02,,,,,,,,,0.0,,,,
2,Australia,Men,,,82.0,19.17,78.0,80.1,1.5,,,,5.9,80.4,7.2,1.38,,96.0,,85.0,,498.0,14.37,,93.0,20.8
3,Australia,Total,5.0,,81.0,13.04,73.0,63.5,1.1,32759.0,427064.0,20.0,5.4,82.5,7.3,1.31,49126.0,95.0,,85.0,2.7,502.0,14.35,91.0,93.0,21.0
4,Australia,Women,,,80.0,6.31,68.0,48.8,0.7,,,,5.0,84.6,7.4,1.23,,94.0,,85.0,,506.0,14.33,,92.0,21.1
5,Austria,High,,,,,,,,,,,2.67,,7.6,,,92.0,,80.0,,541.0,,,,
6,Austria,Low,,,,,,,,,,,7.31,,,,,,,62.0,,447.0,,,,
7,Austria,Men,,,88.0,10.01,76.0,84.1,0.4,,,,4.2,79.3,7.1,1.99,,92.0,,72.0,,496.0,14.72,,93.0,16.7
8,Austria,Total,16.0,0.9,85.0,6.66,72.0,80.6,0.5,33541.0,308325.0,21.0,3.5,81.7,7.1,1.84,50349.0,92.0,1.6,70.0,1.3,492.0,14.55,80.0,92.0,17.0
9,Austria,Women,,,82.0,3.1,68.0,77.4,0.5,,,,2.7,84.1,7.1,1.66,,92.0,,69.0,,488.0,14.32,,91.0,17.3
10,Belgium,High,,,,,,,,,,,2.19,,7.3,,,95.0,,87.0,,559.0,,,,
11,Belgium,Low,,,,,,,,,,,6.97,,,,,,,59.0,,452.0,,,,
12,Belgium,Men,,,76.0,6.81,68.0,81.6,1.2,,,,4.7,79.0,6.9,3.71,,92.0,,77.0,,504.0,15.78,,86.0,18.6
13,Belgium,Total,15.0,1.9,77.0,4.75,63.0,70.1,1.0,30364.0,386006.0,21.0,3.7,81.5,6.9,3.54,49675.0,91.0,2.2,74.0,2.0,503.0,15.7,89.0,84.0,19.3
14,Belgium,Women,,,78.0,2.55,59.0,59.1,0.9,,,,2.7,84.0,6.9,3.35,,90.0,,71.0,,501.0,15.51,,81.0,20.0
15,Brazil,High,,,,,,,,,,,,,,,,,,,,445.0,,,,
16,Brazil,Low,,,,,,,,,,,,,,,,86.0,,,,361.0,,,,
17,Brazil,Men,,,46.0,9.15,71.0,44.7,50.0,,,,,71.0,6.2,,,90.0,,,,394.0,,,77.0,15.8
18,Brazil,Total,10.0,6.7,49.0,7.13,61.0,35.6,26.7,,,,,74.8,6.4,,,90.0,,,2.2,395.0,,79.0,73.0,16.2
