Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,15-24 years,YEARS15-24,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,25-34 years,YEARS25-34,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,35-44 years,YEARS35-44,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,45-54 years,YEARS45-54,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,65-74 years,YEARS65-74,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,75-84 years,YEARS75-84,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,85+ years,YEARS85PLUS,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,15-24 years,YEARS15-24,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,25-34 years,YEARS25-34,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,35-44 years,YEARS35-44,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,45-54 years,YEARS45-54,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,65-74 years,YEARS65-74,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,75-84 years,YEARS75-84,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,85+ years,YEARS85PLUS,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,15-24 years,YEARS15-24,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,25-34 years,YEARS25-34,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,35-44 years,YEARS35-44,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,45-54 years,YEARS45-54,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,55-64 years,YEARS55-64,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,65-74 years,YEARS65-74,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,75-84 years,YEARS75-84,0.0
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,85+ years,YEARS85PLUS,0.0
2019,Barbados,BRB,Americas,AMR,Both sexes,BTSX,15-24 years,YEARS15-24,0.0
