Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,SuicideRate,SuicideRateLower,SuicideRateUpper
2019,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,0.0,0.0,0.0
2019,Barbados,BRB,Americas,AMR,Female,FMLE,0.16,0.11,0.22
2019,Barbados,BRB,Americas,AMR,Both sexes,BTSX,0.31,0.22,0.42
2019,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,0.32,0.22,0.45
2019,Barbados,BRB,Americas,AMR,Male,MLE,0.49,0.34,0.65
2019,Grenada,GRD,Americas,AMR,Male,MLE,0.53,0.4,0.68
2019,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,0.6,0.41,0.85
2019,Grenada,GRD,Americas,AMR,Both sexes,BTSX,0.64,0.45,0.88
2019,St. Vincent and the Grenadines,VCT,Americas,AMR,Female,FMLE,0.67,0.41,0.99
2019,Venezuela,VEN,Americas,AMR,Female,FMLE,0.69,0.45,1.02
2019,Grenada,GRD,Americas,AMR,Female,FMLE,0.73,0.48,1.05
2019,Kuwait,KWT,Eastern Mediterranean,EMR,Female,FMLE,0.74,0.5,1.07
2019,Syria,SYR,Eastern Mediterranean,EMR,Female,FMLE,0.75,0.46,1.16
2019,Brunei Darussalam,BRN,Western Pacific,WPR,Female,FMLE,0.78,0.5,1.17
2019,Maldives,MDV,South-East Asia,SEAR,Female,FMLE,0.85,0.51,1.34
2019,Jordan,JOR,Eastern Mediterranean,EMR,Female,FMLE,0.93,0.61,1.37
2019,Honduras,HND,Americas,AMR,Female,FMLE,0.98,0.53,1.69
2019,Panama,PAN,Americas,AMR,Female,FMLE,0.98,0.64,1.43
2019,Jamaica,JAM,Americas,AMR,Female,FMLE,1.0,0.66,1.46
2019,St. Vincent and the Grenadines,VCT,Americas,AMR,Both sexes,BTSX,1.01,0.7,1.41
2019,Armenia,ARM,Europe,EUR,Female,FMLE,1.02,0.72,1.41
2019,Cyprus,CYP,Europe,EUR,Female,FMLE,1.06,0.75,1.45
2019,Myanmar,MMR,South-East Asia,SEAR,Female,FMLE,1.09,0.64,1.76
2019,Oman,OMN,Eastern Mediterranean,EMR,Female,FMLE,1.12,0.66,1.78
2019,Sao Tome and Principe,STP,Africa,AFR,Female,FMLE,1.15,0.66,1.89
2019,Indonesia,IDN,South-East Asia,SEAR,Female,FMLE,1.15,0.88,1.5
2019,Turkey,TUR,Europe,EUR,Female,FMLE,1.19,0.77,1.74
2019,Bahamas,BHS,Americas,AMR,Female,FMLE,1.23,0.81,1.8
2019,Philippines,PHL,Western Pacific,WPR,Female,FMLE,1.32,1.01,9.65
2019,Seychelles,SYC,Africa,AFR,Female,FMLE,1.33,0.89,1.9
2019,St. Vincent and the Grenadines,VCT,Americas,AMR,Male,MLE,1.33,0.97,1.82
2019,Peru,PER,Americas,AMR,Female,FMLE,1.38,0.79,2.23
2019,Greece,GRC,Europe,EUR,Female,FMLE,1.45,1.09,1.88
2019,St. Lucia,LCA,Americas,AMR,Female,FMLE,1.47,1.02,2.06
2019,Azerbaijan,AZE,Europe,EUR,Female,FMLE,1.48,0.88,2.37
2019,Bangladesh,BGD,South-East Asia,SEAR,Female,FMLE,1.66,0.98,2.61
2019,Lebanon,LBN,Eastern Mediterranean,EMR,Female,FMLE,1.67,0.88,2.8
2019,Qatar,QAT,Eastern Mediterranean,EMR,Female,FMLE,1.69,1.01,2.63
2019,Colombia,COL,Americas,AMR,Female,FMLE,1.71,1.14,2.44
2019,Ghana,GHA,Africa,AFR,Female,FMLE,1.79,1.03,2.83
2019,Belize,BLZ,Americas,AMR,Female,FMLE,1.83,1.29,2.52
2019,Tunisia,TUN,Eastern Mediterranean,EMR,Female,FMLE,1.84,0.91,3.16
2019,Dominican Republic,DOM,Americas,AMR,Female,FMLE,1.85,1.07,3.02
